# RL Training Session: rl_session_1755714503286,,,,,,
"# Parameters: {""learningRate"":0.1",discountFactor:0.95,initialEpsilon:1,rewardGoal:100,penaltyFall:-10,penaltyWallHit:-2,rewardPerTick:-0.1}
# Snapshot taken at: 2025-08-20T18:50:13.895Z,,,,,,
# Episodes recorded: 166,,,,,,
,,,,,,
=== EPISODES ===,,,,,,
Episode,TotalReward,Steps,Outcome,FinalDistance,Epsilon,Timestamp
0,-13.85,4625,timeout,14,1,2025-08-20T18:29:01.824Z
1,-10.58,700,fall,14,0.98,2025-08-20T18:29:07.658Z
2,-12.09,2511,timeout,14,0.9604,2025-08-20T18:29:28.583Z
3,97.88,2549,goal,0,0.9412,2025-08-20T18:29:49.823Z
4,97.51,2984,goal,0,0.9224,2025-08-20T18:30:14.790Z
5,98.31,2034,goal,0,0.9039,2025-08-20T18:30:31.839Z
6,-10.36,436,fall,14,0.8858,2025-08-20T18:30:35.574Z
7,-10.44,524,fall,14,0.8681,2025-08-20T18:30:39.939Z
8,97.76,2684,goal,0,0.8508,2025-08-20T18:31:02.306Z
9,96.65,4026,goal,0,0.8337,2025-08-20T18:31:35.955Z
10,98.89,1328,goal,0,0.8171,2025-08-20T18:31:47.121Z
11,-10.38,450,fall,14,0.8007,2025-08-20T18:31:50.971Z
12,95.99,4806,goal,0,0.7847,2025-08-20T18:32:31.022Z
13,-10.22,266,fall,14,0.769,2025-08-20T18:32:33.337Z
14,-10.26,316,fall,14,0.7536,2025-08-20T18:32:35.971Z
15,-10.2,238,fall,14,0.7386,2025-08-20T18:32:37.955Z
16,-10.59,704,fall,14,0.7238,2025-08-20T18:32:43.820Z
17,-10.22,264,fall,14,0.7093,2025-08-20T18:32:46.021Z
18,-11.13,1358,timeout,14,0.6951,2025-08-20T18:32:57.338Z
19,-10.97,1166,timeout,14,0.6812,2025-08-20T18:33:07.054Z
20,99.38,738,goal,0,0.6676,2025-08-20T18:33:13.205Z
21,-10.29,352,fall,14,0.6543,2025-08-20T18:33:16.237Z
22,99.72,338,goal,0,0.6412,2025-08-20T18:33:19.054Z
23,-11.03,1236,timeout,14,0.6283,2025-08-20T18:33:29.455Z
24,-10.98,1172,timeout,14,0.6158,2025-08-20T18:33:39.221Z
25,96.98,3626,goal,0,0.6035,2025-08-20T18:34:09.437Z
26,-10.75,900,fall,14,0.5914,2025-08-20T18:34:17.036Z
27,-11.23,1480,timeout,14,0.5796,2025-08-20T18:34:29.370Z
28,-10.24,292,fall,14,0.568,2025-08-20T18:34:31.804Z
29,96.41,4310,goal,0,0.5566,2025-08-20T18:35:07.720Z
30,-10.31,368,fall,14,0.5455,2025-08-20T18:35:10.887Z
31,99.59,492,goal,0,0.5346,2025-08-20T18:35:14.986Z
32,-10.78,933,fall,14,0.5239,2025-08-20T18:35:22.853Z
33,-11.76,2116,timeout,14,0.5134,2025-08-20T18:35:40.487Z
34,-10.19,232,fall,14,0.5031,2025-08-20T18:35:42.420Z
35,99.1,1076,goal,0,0.4931,2025-08-20T18:35:51.386Z
36,99.53,568,goal,0,0.4832,2025-08-20T18:35:56.219Z
37,-10.18,214,fall,14,0.4735,2025-08-20T18:35:58.103Z
38,-10.23,276,fall,14,0.4641,2025-08-20T18:36:00.403Z
39,99.47,636,goal,0,0.4548,2025-08-20T18:36:05.703Z
40,99.62,452,goal,0,0.4457,2025-08-20T18:36:09.570Z
41,99.32,820,goal,0,0.4368,2025-08-20T18:36:16.503Z
42,-10.18,218,fall,14,0.4281,2025-08-20T18:36:18.419Z
43,-10.25,294,fall,14,0.4195,2025-08-20T18:36:20.869Z
44,-11.56,1874,timeout,14,0.4111,2025-08-20T18:36:36.487Z
45,-11.7,2046,timeout,14,0.4029,2025-08-20T18:36:53.536Z
46,-10.32,384,fall,14,0.3948,2025-08-20T18:36:56.735Z
47,-10.57,684,fall,14,0.3869,2025-08-20T18:37:02.436Z
48,99.36,768,goal,0,0.3792,2025-08-20T18:37:08.836Z
49,99.37,760,goal,0,0.3716,2025-08-20T18:37:15.269Z
50,-10.61,732,fall,14,0.3642,2025-08-20T18:37:21.469Z
51,-10.65,780,fall,14,0.3569,2025-08-20T18:37:27.968Z
52,-10.27,320,fall,14,0.3497,2025-08-20T18:37:30.636Z
53,99.34,798,goal,0,0.3428,2025-08-20T18:37:37.284Z
54,99.41,704,goal,0,0.3359,2025-08-20T18:37:43.252Z
55,96.57,4116,goal,0,0.3292,2025-08-20T18:38:17.656Z
56,99.3,834,goal,0,0.3226,2025-08-20T18:38:24.706Z
57,97.6,2879,goal,0,0.3161,2025-08-20T18:38:48.806Z
58,99.54,554,goal,0,0.3098,2025-08-20T18:38:53.522Z
59,99.14,1032,goal,0,0.3036,2025-08-20T18:39:02.222Z
60,99.77,272,goal,0,0.2976,2025-08-20T18:39:04.589Z
61,98.4,1924,goal,0,0.2916,2025-08-20T18:39:20.722Z
62,99.8,234,goal,0,0.2858,2025-08-20T18:39:22.772Z
63,99.63,442,goal,0,0.2801,2025-08-20T18:39:26.556Z
64,99.84,186,goal,0,0.2745,2025-08-20T18:39:28.206Z
